,Name,Industry,Sector,Headquarters,Founded,Notes
32,Blancpain,Consumer goods,Clothing & accessories,Paudex,1735,"Watches, part of The Swatch Group"
33,BLS AG,Industrials,Railroads,Bern,2006,Rail transport
34,Bolex,Consumer goods,Recreational products,Yverdon-les-Bains,1925,Motion picture cameras and lenses
35,Bolliger & Mabillard,Industrials,Business support services,Monthey,1988,Roller coaster design consultancy
36,Breguet,Consumer goods,Clothing & accessories,Vallée de Joux,1775,"Watches, part of The Swatch Group"
37,Breitling SA,Consumer goods,Clothing & accessories,Grenchen,1884,Watches
38,Bron Elektronik,Consumer goods,Recreational products,Allschwil,1958,Manufacturer of photography equipment
39,"Brown, Boveri & Cie",Industrials,Electrical components & equipment,Baden,1891,Defunct 1988
40,Burckhardt Compression AG,Industrials,Industrial machinery,Winterthur,1844,Manufacturer of reciprocating compressors
41,Caran d'Ache,Consumer goods,Nondurable household products,Geneva,1915,Writing instruments
42,Cargo Sous Terrain (CST),Industrials,Delivery services,Basel,2013,Underground logistics system
43,Century Time Gems,Consumer goods,Clothing & accessories,Nidau,1966,Watches
44,Certina,Consumer goods,Clothing & accessories,Le Locle,1888,"Watches, part of The Swatch Group"
45,Charriol,Consumer goods,Clothing & accessories,Geneva,1983,Jewellery and watches
46,Chemins de fer du Jura,Consumer services,Travel & tourism,Tavannes[7],1944,Passenger rail
47,Chopard,Consumer goods,Clothing & accessories,Geneva,1860,Watches
48,Ciba Specialty Chemicals,Basic materials,Specialty chemicals,Basel,1997,Now part of BASF (Germany)
49,Circus Knie,Consumer services,Recreational services,Rapperswil,1803,Circus
50,Clariant,Basic materials,Specialty chemicals,Muttenz,1995,Specialty chemicals
51,claro fair trade,Consumer services,Specialty retailers,Orpund,1977,Sustainability-oriented retail
52,CLS Communication,Industrials,Business support services,Zürich,1997,Translation services
53,Club Airways International,Consumer services,Airlines,Meyrin,2002,Corporate airline
54,Coca-Cola HBC AG,Consumer goods,Soft drinks,Zug,1969,Bottling company
55,Colayer,Technology,Software,Zürich,2000,Software
